Municipio,Provincia,Habitantes(2022),CarrilBici,Preciosalquiler,DistanciaaMadrid(km),TiempomediodeviajeaMadridencoche,TiempomediodeviajeaMadridentrenoautobús,DistanciaaBarcelona(km),TiempomediodeviajeaBarcelonaencoche,TiempomediodeviajeaBarcelonaentrenoautobús,AeropuertoInternacionalmáscercano,Númerodeconexionesdelaeropuertointernacionalmáscercano,Distanciaalaeropuertointernacionalmáscercano(km),Temperaturamáximamedia(ºC),Temperaturamínimamedia(ºC),Preciomediovivienda(EUR/m2),PatrimoniodelaHumanidad,%díascalidaddelaireBuena,%díascalidaddelaireRazonablementeBuena,%díascalidaddelaireRegular,%díascalidaddelaireDesfavorable,%díascalidaddelaireMuyDesfavorable,%díascalidaddelaireExtremadamenteDesfavorable,Ponderacióncalidaddelaire,HorasdeSolmediasanuales,IDComunidadAutonoma
A Coruña,A Coruña,244700,20.4,9.1,593,05:37:00,04:32:00,1084,11:00:00,12:00:00,A Coruña,9,11.6,24,7,2300,Sí,20,73,4,3,0,0,410,2453,13
Albacete,Albacete,172357,24.4,7.1,260,02:34:00,01:37:00,545,05:22:00,05:25:00,"Alacant-Elx 
Miguel Hernández",119,169.0,33,0,1417,No,3,72,16,9,0,0,369,3282,6
Alcalá de Guadaíra,Sevilla,75917,N/D,6.6,531,05:09:00,03:29:00,995,09:50:00,12:00:00,Sevilla,70,21.1,35,5,N/D,No,14,72,11,3,0,0,397,3526,1
Alcalá de Henares,Madrid,196888,28,9.9,40,00:39:00,00:42:00,586,05:30:00,03:20:00,"Adolfo Suárez 
Madrid-Barajas",174,21.0,33,1,N/D,Sí,17,68,11,3,0,0,396,2691,9
Alcobendas,Madrid,117041,53.8,12,24,00:25:00,00:22:00,613,05:47:00,03:49:00,"Adolfo Suárez 
Madrid-Barajas",174,9.1,33,0,N/D,No,22,67,8,3,0,0,408,2691,9
Alcorcón,Madrid,170296,17.6,10.8,15,00:34:00,00:20:00,631,06:03:00,03:09:00,"Adolfo Suárez 
Madrid-Barajas",174,29.5,33,0,N/D,No,12,76,10,2,0,0,398,2691,9
Algeciras,Cádiz,122368,N/D,7.1,662,06:20:00,05:40:00,1106,11:00:00,14:00:00,Jerez,16,107.0,28,11,N/D,No,13,80,4,2,0,0,401,3316,1
Alicante,Alicante,338577,39.3,9.4,427,04:02:00,02:25:00,525,05:18:00,08:00:00,"Alacant-Elx 
Miguel Hernández",119,11.1,31,7,1705,No,32,62,5,0,0,0,423,3397,11
Almería,Almería,199237,40.2,7.6,551,05:15:00,10:05:00,803,07:55:00,12:00:00,Almería,19,8.6,30,8,1302,No,5,81,10,4,0,0,387,3305,1
Avilés,Asturias,75877,9.9,6.8,481,04:41:00,05:00:00,893,08:49:00,13:00:00,Asturias,24,14.5,22,7,N/D,No,6,84,7,N/D,0,0,395,1962,15
Badajoz,Badajoz,150146,N/D,6.7,404,03:44:00,04:28:00,1021,09:53:00,16:00:00,Sevilla,70,217.0,35,3,1374,No,33,59,6,4,0,0,423,3224,12
Badalona,Barcelona,223506,0.9,12.8,633,06:21:00,03:02:00,10,00:23:00,00:21:00,"Josep Tarradellas
Barcelona-El Prat",170,24.7,29,5,N/D,No,33,63,4,2,0,0,429,2453,8
Barakaldo,Bizkaia,100535,16,11.3,408,04:03:00,04:54:00,612,05:51:00,09:40:00,Bilbao,46,16.0,24,6,N/D,No,44,43,7,0,0,0,423,1694,14
Barcelona,Barcelona,1636193,14.1,18.4,623,06:15:00,02:45:00,0,0,0,"Josep Tarradellas
Barcelona-El Prat",170,12.6,28,5,4063,Sí,31,67,2,5,0,0,429,2453,8
Bilbao,Bizkaia,344127,9.8,13.3,401,03:59:00,04:28:00,605,05:44:00,10:10:00,Bilbao,46,12.1,24,5,3174,No,55,36,5,0,0,0,442,1694,14
