,Localización,Precio m2 jul,Variación mensual,Variación trimestral,Variación anual,Máximo histórico,Variación máximo
1,España,1.996 €/m2,"+ 0,3 %","+ 1,7 %","+ 7,2 %",2.115 €/m2 jun 2007,"- 5,6 %"
2,Andalucía,2.029 €/m2,"+ 0,2 %","+ 1,9 %","+ 9,0 %",2.029 €/m2 jul 2023,"0,0 %"
3,Almería provincia,1.182 €/m2,"+ 0,9 %","+ 1,8 %","+ 5,2 %",1.868 €/m2 jul 2006,"- 36,7 %"
4,Almería,1.361 €/m2,"+ 3,3 %","+ 3,6 %","+ 10,8 %",2.257 €/m2 sep 2008,"- 39,7 %"
5,Cádiz provincia,1.749 €/m2,"+ 0,2 %","+ 1,7 %","+ 9,7 %",2.272 €/m2 abr 2007,"- 23,0 %"
6,Cádiz,2.609 €/m2,"+ 0,5 %","+ 0,8 %","+ 6,1 %",2.674 €/m2 mar 2009,"- 2,4 %"
7,Córdoba provincia,1.212 €/m2,"0,0 %","+ 0,3 %","+ 1,7 %",1.801 €/m2 nov 2007,"- 32,7 %"
8,Córdoba,1.452 €/m2,"- 0,1 %","+ 0,5 %","+ 1,0 %",2.178 €/m2 dic 2007,"- 33,4 %"
9,Granada provincia,1.341 €/m2,"+ 0,2 %","+ 0,3 %","+ 2,7 %",1.782 €/m2 mayo 2007,"- 24,7 %"
10,Granada,1.935 €/m2,"+ 0,4 %","+ 0,4 %","+ 4,1 %",2.213 €/m2 mayo 2008,"- 12,6 %"
11,Huelva provincia,1.359 €/m2,"- 0,6 %","+ 0,3 %","+ 6,6 %",1.919 €/m2 sep 2007,"- 29,2 %"
12,Huelva,1.228 €/m2,"+ 1,1 %","- 1,5 %","+ 10,7 %",1.678 €/m2 mayo 2008,"- 26,8 %"
13,Jaén provincia,816 €/m2,"- 1,1 %","- 0,7 %","- 1,6 %",1.320 €/m2 sep 2007,"- 38,2 %"
14,Jaén,1.099 €/m2,"- 1,6 %","+ 0,2 %","- 0,8 %",1.672 €/m2 oct 2008,"- 34,3 %"
15,Málaga provincia,2.964 €/m2,"+ 0,5 %","+ 2,6 %","+ 11,8 %",2.964 €/m2 jul 2023,"0,0 %"
16,Málaga,2.570 €/m2,"+ 2,2 %","+ 6,4 %","+ 14,5 %",2.570 €/m2 jul 2023,"0,0 %"
17,Sevilla provincia,1.523 €/m2,"+ 1,3 %","+ 2,2 %","+ 5,8 %",1.970 €/m2 mar 2008,"- 22,7 %"
18,Sevilla,2.188 €/m2,"+ 0,4 %","+ 1,9 %","+ 6,1 %",2.646 €/m2 sep 2007,"- 17,3 %"
19,Aragón,1.392 €/m2,"+ 0,6 %","+ 2,3 %","+ 5,6 %",2.008 €/m2 mar 2007,"- 30,7 %"
20,Huesca provincia,1.408 €/m2,"- 0,5 %","+ 0,4 %","+ 4,1 %",2.246 €/m2 ago 2007,"- 37,3 %"
21,Huesca,1.637 €/m2,"+ 4,8 %","+ 7,7 %","+ 8,6 %",1.738 €/m2 mar 2011,"- 5,8 %"
22,Teruel provincia,901 €/m2,"- 1,2 %","+ 1,9 %","+ 2,0 %",1.118 €/m2 jun 2008,"- 19,4 %"
23,Teruel,1.257 €/m2,"- 1,3 %","+ 0,4 %","+ 9,1 %",1.660 €/m2 nov 2010,"- 24,3 %"
24,Zaragoza provincia,1.443 €/m2,"+ 0,9 %","+ 2,7 %","+ 6,0 %",2.135 €/m2 mayo 2007,"- 32,4 %"
25,Zaragoza,1.761 €/m2,"+ 0,5 %","+ 2,2 %","+ 4,9 %",2.787 €/m2 dic 2007,"- 36,8 %"
26,Asturias,1.361 €/m2,"+ 0,6 %","+ 1,3 %","+ 1,9 %",1.867 €/m2 abr 2008,"- 27,1 %"
27,Asturias,1.361 €/m2,"+ 0,6 %","+ 1,3 %","+ 1,9 %",1.867 €/m2 abr 2008,"- 27,1 %"
28,Oviedo,1.635 €/m2,"+ 0,2 %","+ 0,4 %","+ 3,7 %",2.179 €/m2 ene 2009,"- 25,0 %"
29,Baleares,3.973 €/m2,"+ 0,5 %","+ 4,3 %","+ 13,9 %",3.973 €/m2 jul 2023,"0,0 %"
30,Baleares,3.973 €/m2,"+ 0,5 %","+ 4,3 %","+ 13,9 %",3.973 €/m2 jul 2023,"0,0 %"
31,Palma de Mallorca,3.827 €/m2,"+ 1,1 %","+ 6,3 %","+ 14,4 %",3.827 €/m2 jul 2023,"0,0 %"
32,Canarias,2.264 €/m2,"+ 0,8 %","+ 2,8 %","+ 11,5 %",2.264 €/m2 jul 2023,"0,0 %"
33,Las Palmas,2.175 €/m2,"+ 0,1 %","+ 1,9 %","+ 8,8 %",2.257 €/m2 mayo 2007,"- 3,7 %"
34,Las Palmas de Gran Canaria,2.137 €/m2,"+ 0,5 %","0,0 %","+ 1,7 %",2.137 €/m2 abr 2023,"0,0 %"
35,Santa Cruz de Tenerife provincia,2.340 €/m2,"+ 1,4 %","+ 3,6 %","+ 14,1 %",2.340 €/m2 jul 2023,"0,0 %"
36,Santa Cruz de Tenerife,1.811 €/m2,"+ 2,3 %","+ 3,1 %","+ 14,4 %",1.822 €/m2 jul 2008,"- 0,6 %"
37,Cantabria,1.533 €/m2,"- 0,3 %","+ 1,0 %","+ 3,9 %",2.010 €/m2 feb 2008,"- 23,7 %"
38,Cantabria,1.533 €/m2,"- 0,3 %","+ 1,0 %","+ 3,9 %",2.010 €/m2 feb 2008,"- 23,7 %"
39,Santander,2.032 €/m2,"- 0,3 %","+ 1,3 %","+ 6,2 %",2.693 €/m2 jun 2009,"- 24,5 %"
40,Castilla y León,1.157 €/m2,"+ 0,1 %","- 0,1 %","+ 2,1 %",1.481 €/m2 jun 2011,"- 21,9 %"
41,Ávila provincia,882 €/m2,"+ 1,3 %","+ 2,0 %","+ 5,5 %",1.266 €/m2 mar 2008,"- 30,4 %"
42,Ávila,1.240 €/m2,"+ 2,8 %","+ 6,1 %","+ 16,4 %",1.744 €/m2 jul 2008,"- 28,9 %"
43,Burgos provincia,1.203 €/m2,"- 0,1 %","+ 1,5 %","+ 3,7 %",1.655 €/m2 sep 2011,"- 27,3 %"
44,Burgos,1.681 €/m2,"+ 0,8 %","+ 1,7 %","+ 5,3 %",2.176 €/m2 nov 2008,"- 22,8 %"
45,León provincia,981 €/m2,"+ 0,2 %","- 0,4 %","- 0,2 %",1.351 €/m2 jun 2011,"- 27,4 %"
46,León,1.340 €/m2,"+ 0,8 %","+ 1,9 %","+ 1,6 %",1.898 €/m2 feb 2011,"- 29,4 %"
47,Palencia provincia,1.088 €/m2,"- 0,6 %","- 1,3 %","- 0,6 %",1.335 €/m2 feb 2012,"- 18,5 %"
48,Palencia,1.282 €/m2,"- 0,6 %","- 0,1 %","0,0 %",1.724 €/m2 ene 2009,"- 25,6 %"
49,Salamanca provincia,1.323 €/m2,"+ 0,2 %","- 1,0 %","+ 2,6 %",1.719 €/m2 mar 2011,"- 23,0 %"
50,Salamanca,1.752 €/m2,"- 0,2 %","- 0,2 %","+ 4,7 %",2.480 €/m2 mar 2008,"- 29,4 %"
51,Segovia provincia,1.211 €/m2,"- 0,3 %","- 2,0 %","+ 4,3 %",1.601 €/m2 sep 2007,"- 24,4 %"
52,Segovia,1.718 €/m2,"+ 0,3 %","+ 1,1 %","+ 6,4 %",2.252 €/m2 mar 2009,"- 23,7 %"
53,Soria provincia,1.081 €/m2,"+ 0,5 %","+ 1,1 %","+ 5,5 %",1.372 €/m2 nov 2010,"- 21,2 %"
54,Soria,1.509 €/m2,"+ 0,2 %","+ 4,8 %","+ 11,5 %",1.913 €/m2 nov 2010,"- 21,1 %"
55,Valladolid provincia,1.344 €/m2,"+ 0,2 %","+ 0,8 %","+ 1,0 %",1.776 €/m2 oct 2007,"- 24,3 %"
56,Valladolid,1.591 €/m2,"0,0 %","+ 0,5 %","+ 1,2 %",2.117 €/m2 oct 2007,"- 24,8 %"
57,Zamora provincia,947 €/m2,"- 1,1 %","- 2,3 %","- 0,8 %",1.368 €/m2 mar 2011,"- 30,7 %"
58,Zamora,1.112 €/m2,"- 0,2 %","- 1,6 %","- 1,0 %",1.607 €/m2 mar 2011,"- 30,8 %"
59,Castilla-La Mancha,902 €/m2,"+ 0,1 %","+ 0,7 %","+ 1,0 %",1.424 €/m2 mayo 2007,"- 36,7 %"
60,Albacete provincia,1.079 €/m2,"+ 0,3 %","+ 0,4 %","+ 0,5 %",1.570 €/m2 abr 2008,"- 31,3 %"
61,Albacete,1.449 €/m2,"+ 0,6 %","+ 2,0 %","+ 4,2 %",1.852 €/m2 jun 2008,"- 21,8 %"
62,Ciudad Real provincia,752 €/m2,"+ 0,3 %","0,0 %","- 0,9 %",1.391 €/m2 jun 2007,"- 45,9 %"
63,Ciudad Real,1.193 €/m2,"+ 0,9 %","+ 1,4 %","+ 4,1 %",1.877 €/m2 abr 2008,"- 36,5 %"
64,Cuenca provincia,788 €/m2,"+ 0,3 %","+ 1,7 %","+ 0,1 %",1.109 €/m2 ago 2008,"- 28,9 %"
65,Cuenca,1.267 €/m2,"+ 0,6 %","+ 1,8 %","+ 14,0 %",1.674 €/m2 mar 2010,"- 24,3 %"
66,Guadalajara provincia,1.200 €/m2,"+ 0,2 %","+ 1,4 %","+ 5,1 %",1.661 €/m2 jun 2007,"- 27,8 %"
67,Guadalajara,1.573 €/m2,"+ 0,6 %","+ 3,4 %","+ 6,1 %",2.137 €/m2 mayo 2008,"- 26,4 %"
68,Toledo provincia,848 €/m2,"- 0,1 %","+ 0,2 %","- 0,3 %",1.465 €/m2 nov 2006,"- 42,1 %"
69,Toledo,1.475 €/m2,"+ 1,1 %","+ 3,5 %","+ 2,5 %",2.067 €/m2 mayo 2008,"- 28,6 %"
70,Cataluña,2.353 €/m2,"- 0,4 %","+ 0,5 %","+ 2,1 %",2.677 €/m2 jun 2007,"- 12,1 %"
71,Barcelona provincia,2.687 €/m2,"- 0,3 %","0,0 %","0,0 %",2.883 €/m2 jun 2007,"- 6,8 %"
72,Barcelona,4.135 €/m2,"+ 0,1 %","+ 1,3 %","+ 2,6 %",4.310 €/m2 jun 2007,"- 4,0 %"
73,Girona provincia,2.238 €/m2,"- 0,5 %","+ 0,9 %","+ 4,6 %",2.522 €/m2 jun 2007,"- 11,2 %"
